GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
47157021726,Tennessee,Shelby ,2019,3409,2078,0.3247,0.5996,40.4,0.7448,0.0,0.0,0.0326,0.3878,0.6122,0.1487,0.5526,0.1232,0.0077,0.3864,26085.0,0.0717,0.3238,0.0,0.8643,1.64,0.0,0.2329,0.4673,0.1211,0.0043,0.3162,0.1951,0.2449,821,105200,3.9745019483131925,2.2517854011178935,1.2510398430432628,-0.1308950041416949,-0.946428329820822,1.549000038114553,1.3590409590873047
47157021731,Tennessee,Shelby ,2019,3226,856,0.1981,0.5009,26.7,0.7474,0.0,0.0009,0.2421,0.3217,0.6783,0.3832,0.4794,0.25,0.0058,0.1741,12686.0,0.0959,0.2373,0.0,0.6916,3.77,0.0129,0.028,0.2909,0.2567,0.1117,0.4237,0.0815,0.1508,985,78700,3.304948281956057,1.1325100269191968,-1.2664885549457905,2.1798530096345807,0.6737412133367988,0.5853325870112719,0.5734442016316318
47157021732,Tennessee,Shelby ,2019,6191,2625,0.1664,0.5371,25.8,0.8184,0.0,0.0039,0.1378,0.208,0.792,0.3688,0.5717,0.1304,0.0,0.0891,17787.0,0.0645,0.1517,0.0058,0.7749,2.36,0.0,0.0716,0.384,0.1643,0.0742,0.2728,0.0551,0.1368,881,78300,1.1559110775696761,0.9356548524794981,-2.2356035088372206,0.4579096657029217,0.41333417184395155,1.5846158963805255,0.023088223034136865
47157021741,Tennessee,Shelby ,2019,8785,2753,0.136,0.5582,26.8,0.8271,0.0,0.0,0.1297,0.4085,0.5915,0.3705,0.4961,0.1133,0.0,0.1853,17974.0,0.1242,0.2521,0.0,0.4577,3.19,0.0045,0.0084,0.3269,0.1144,0.0631,0.2518,0.0821,0.051,1119,83300,1.2871432264512106,0.461727421735663,-1.9630733019381525,0.3673727661426405,0.737471663161739,1.6836446773493206,-0.09901727626735625
47157021744,Tennessee,Shelby ,2019,5884,2062,0.1621,0.5376,40.1,0.752,0.0,0.024,0.1334,0.74,0.26,0.1906,0.5155,0.1285,0.0068,0.2818,25552.0,0.0534,0.162,0.0,0.2328,2.85,0.0,0.0141,0.2008,0.1341,0.0739,0.061,0.1077,0.0423,1420,122200,1.1662311389478919,-0.571087677250399,-0.7005712708216605,0.9440703616043893,0.19321451054735148,1.3006052148682106,-0.20275080160731104
47157021745,Tennessee,Shelby ,2019,8078,2575,0.1538,0.5146,41.0,0.8232,0.0,0.0109,0.0786,0.8273,0.1727,0.1623,0.4869,0.0826,0.0159,0.2905,27350.0,0.0366,0.1775,0.0,0.228,3.11,0.0129,0.0221,0.1907,0.136,0.0461,0.034,0.1173,0.0491,1472,153300,-0.2300084986768418,-0.5383066063839196,-0.8951758015983409,0.2683589791341072,0.15492483866684822,0.7801900915044633,-0.37705157832288905
47157021746,Tennessee,Shelby ,2019,4701,1872,0.1404,0.5333,33.0,0.8696,0.0,0.0,0.067,0.3177,0.6823,0.321,0.4945,0.1099,0.0053,0.1699,25557.0,0.0784,0.1659,0.0036,0.6149,2.51,0.0,0.0112,0.2057,0.0908,0.0391,0.0989,0.1032,0.1013,998,92500,-0.41736244553356916,0.25689848018640177,-1.8996155344907515,-0.3848799983641105,0.43222089274179665,1.1780137143930947,-0.3396295457085524
47157021747,Tennessee,Shelby ,2019,4178,1297,0.1312,0.5144,30.9,0.7956,0.0,0.0,0.1546,0.3621,0.6379,0.2614,0.5045,0.123,0.0231,0.2167,19905.0,0.0475,0.2475,0.0,0.3655,3.22,0.0,0.0254,0.2598,0.1041,0.0434,0.2097,0.1079,0.0955,1305,97500,0.351708880889817,0.20127654012984594,-1.7567755893987451,0.30331357317349045,0.6078124925446152,0.9960818644406105,-0.22530713628023935
47157021751,Tennessee,Shelby ,2019,7359,2135,0.1662,0.5437,34.5,0.8515,0.0,0.0118,0.0431,0.6575,0.3425,0.222,0.5434,0.0589,0.0323,0.2183,27212.0,0.0848,0.1226,0.0,0.178,3.45,0.0,0.0075,0.1953,0.0958,0.0237,0.1111,0.0657,0.0778,1391,175600,-0.7903176010226467,-0.33085565706801545,-1.4668600158470528,-0.6059975223232248,0.13046184072968522,1.4829337534859608,-0.5195705204520561
47157021752,Tennessee,Shelby ,2019,4974,1748,0.1502,0.579,35.7,0.8715,0.0,0.0,0.0891,0.5952,0.4048,0.2162,0.5815,0.0177,0.0126,0.2288,27486.0,0.0238,0.1258,0.0,0.3467,2.85,0.0,0.0229,0.1619,0.08,0.0479,0.0885,0.0798,0.0,982,157000,0.29498650656663816,-0.8753591811228644,-1.5438586123517462,-0.1595884231392664,0.4551409821808338,2.4186517409996817,-0.6315677469732378
