GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
5045031102,Arkansas,Faulkner ,2019,5331,1822,0.2232,0.4789,40.1,0.1028,0.0131,0.0028,0.0411,0.6608,0.3392,0.0703,0.4711,0.1513,0.0214,0.4111,25811.0,0.0777,0.2224,0.0117,0.2503,2.93,0.1499,0.0401,0.1131,0.1336,0.0138,0.2019,0.1497,0.1673,903,128800,-0.4594582974926893,-0.27054291683438236,-0.15381890631015066,0.018019722815755923,-0.4564095783118213,0.40329338114790914,-0.16191063794974192
5047950100,Arkansas,Franklin ,2019,3912,1366,0.2045,0.4721,47.3,0.0143,0.0192,0.0084,0.0685,0.8605,0.1395,0.063,0.4466,0.2074,0.0,0.451,20183.0,0.008,0.1357,0.0376,0.1025,2.77,0.1289,0.0154,0.1201,0.0564,0.0,0.2114,0.2056,0.1327,630,121600,-0.5646664612558709,-0.9473312148484359,0.09912991578790656,-0.035767874463697766,-0.5022527824055791,0.8215554946739354,-0.3567907149764422
5047950200,Arkansas,Franklin ,2019,6786,2757,0.2607,0.5197,40.9,0.0127,0.0031,0.0,0.0202,0.8251,0.1749,0.095,0.4843,0.1643,0.0004,0.4559,16644.0,0.0402,0.1627,0.0414,0.436,2.41,0.132,0.0921,0.1875,0.0368,0.0013,0.2975,0.2718,0.1615,597,88300,1.090203064775526,-0.07038282179646049,0.4164633628071253,-0.3069091827300669,0.2832113568036988,0.7678203496912293,0.10792854281625142
5047950300,Arkansas,Franklin ,2019,7040,2600,0.2773,0.5155,39.9,0.0045,0.0273,0.0161,0.0186,0.8101,0.1899,0.1,0.5014,0.1349,0.0312,0.405,24342.0,0.0346,0.1307,0.0548,0.2465,2.67,0.167,0.0419,0.1392,0.0705,0.0,0.1756,0.1976,0.1775,665,96900,-0.09062911749121522,-0.6275852581477773,0.2502049884373915,-0.3191522150016135,0.26006388432148714,0.345839482899297,-0.19899601573951736
5049550100,Arkansas,Fulton ,2019,5245,2338,0.3171,0.4814,52.7,0.0,0.0074,0.0015,0.0,0.8353,0.1647,0.0954,0.4686,0.1321,0.0,0.5599,22841.0,0.059,0.1995,0.0141,0.0898,2.21,0.2603,0.018,0.142,0.0908,0.0,0.1627,0.2302,0.3386,568,86200,1.251199598792919,-0.5724263255552748,1.5932707592842366,-0.17232587282974482,-0.2009969485214322,0.6036779864151341,0.19656521657935075
5049550200,Arkansas,Fulton ,2019,6986,2635,0.2952,0.5153,43.3,0.0083,0.0001,0.0,0.0281,0.7782,0.2218,0.1173,0.5352,0.155,0.0076,0.5575,17336.0,0.0548,0.2672,0.0373,0.3028,2.61,0.1787,0.0702,0.1731,0.1435,0.0177,0.2405,0.2384,0.2032,542,86700,2.9604634103586682,-0.17129895970535552,1.0481424120418183,0.4249938478873783,0.7493483096350008,0.9092778004998262,0.40861823834753785
5051010300,Arkansas,Garland ,2019,6239,2159,0.2484,0.4933,42.6,0.0313,0.0277,0.0,0.0279,0.6247,0.3753,0.1723,0.4543,0.139,0.0009,0.4354,20648.0,0.0384,0.2277,0.0298,0.1464,2.86,0.4655,0.0255,0.1167,0.0726,0.0028,0.2355,0.2337,0.2723,641,85800,0.3296102579945308,-0.49244219032840136,0.28715693579443063,-0.44796704262926224,-0.4802303935434819,1.4630929487012456,-0.14213520831658205
5051010400,Arkansas,Garland ,2019,6767,2690,0.3454,0.4906,52.5,0.0037,0.0037,0.0064,0.0226,0.8603,0.1397,0.0881,0.4366,0.1457,0.0275,0.5186,25504.0,0.0729,0.1436,0.0151,0.155,2.44,0.234,0.0457,0.1483,0.032,0.0166,0.1479,0.2302,0.1761,1117,115600,0.5070075894279253,-0.6266247187372875,1.4800844671099143,-0.2013087945754436,-0.09181638855161633,-0.05332697581764147,0.1043728191661802
5051010500,Arkansas,Garland ,2019,6635,2256,0.2559,0.4818,40.1,0.0191,0.0,0.0,0.0128,0.7738,0.2262,0.1223,0.4838,0.086,0.0262,0.3754,27028.0,0.0328,0.2403,0.0042,0.2052,2.91,0.1465,0.0124,0.0647,0.0894,0.0,0.1887,0.1846,0.1739,801,132200,-0.6224050945245693,-0.7132243612779956,-0.20137165907166624,-0.5107898262165131,0.15555021314258136,0.6474305388990241,-0.37913016960094564
5051010600,Arkansas,Garland ,2019,3571,1525,0.2338,0.6099,39.9,0.2498,0.0266,0.0078,0.1053,0.1442,0.8558,0.2892,0.6444,0.2927,0.0,0.4341,15840.0,0.1154,0.2741,0.0122,0.5711,2.34,0.092,0.3639,0.2439,0.0961,0.0486,0.3668,0.2789,0.1935,376,96900,6.2707110823964065,2.1231618743349165,1.0480938893492393,0.7801634960478152,2.0553689991682362,0.2639228234961988,1.4782690264977123
5051010700,Arkansas,Garland ,2019,1835,800,0.1956,0.4845,40.0,0.1891,0.0,0.0065,0.1166,0.3508,0.6492,0.1413,0.4974,0.1621,0.005,0.34,15643.0,0.1686,0.3578,0.0,0.5725,1.99,0.0039,0.2638,0.2025,0.2338,0.0169,0.318,0.2251,0.2263,557,62400,2.1316418236064933,1.9455713075889096,0.21390456271772376,0.8956017467965495,-0.7367026091259544,-0.1867331843707352,0.9369648294403751
