GEOID,Total_Pop,Total_HH,MDGRENT,MDHSEVAL,MEDAGE,PERCAP,PPUNIT,QAGEDEP,QASIAN,QBLACK,QCVLUN,QED12LES,QESL,QEXTRCT,QFAM,QFEMALE,QFEMLBR,QFHH,QGROUP,QHISP,QHSEBRDN,QMOHO,QNATAM,QNOAUTO,QNOHLTH,QPOVTY,QRENTER,QRICH,QSERV,QSSBEN,QUNOCCHU,Year
47041920200,6433,2623,434,99400,42.3,19998,2.34,0.2493,0.002,0.0381,0.1096,0.2396,0.0233,0.0911,0.7274,0.5189,0.499,0.1453,0.044,0.0539,0.1346,0.0555,0,0.1155,0.1595,0.254,0.3885,0.016,0.2406,0.3732,0.1227,2012
47063101200,6433,2501,691,152000,40.8,26468,2.57,0.1973,0.0196,0.0312,0.1253,0.12,0.0018,0.1089,0.8372,0.4617,0.4365,0.0468,0.0006,0.0092,0.1563,0.0452,0,0.0076,0.1366,0.0933,0.1691,0.0236,0.1732,0.3503,0.0418,2012
47171080200,6434,2700,600,102300,46.4,21855,2.32,0.2735,0,0.0078,0.0743,0.2621,0.0339,0.1467,0.7998,0.511,0.4219,0.1033,0.0267,0.05,0.1463,0.1729,0.0075,0.0796,0.1739,0.1955,0.2352,0.0167,0.1458,0.4967,0.1057,2012
47189030903,6446,2440,902,227600,41.7,35694,2.64,0.2267,0.0074,0.0433,0.0657,0.0774,0.0065,0.1152,0.9633,0.4971,0.4336,0.075,0,0.0177,0.1266,0.0958,0,0.0168,0.1334,0.0431,0.1266,0.0471,0.0913,0.2693,0.0539,2012
47037013700,6451,2444,711,79500,28.2,14827,2.54,0.1902,0,0.8965,0.1648,0.2118,0,0.01,0.0108,0.6242,0.6742,0.3789,0.0361,0,0.3196,0.0187,0.0022,0.3245,0.126,0.4899,0.7381,0.0115,0.2186,0.3335,0.1234,2012
47189030500,6460,2468,765,148100,35.1,18579,2.49,0.1918,0,0.2003,0.1107,0.2285,0.0296,0.0749,0.4578,0.5307,0.484,0.2156,0.0503,0.0687,0.2293,0.0303,0,0.1236,0.1568,0.2143,0.5263,0.0122,0.2439,0.3254,0.1198,2012
47163042300,6490,2745,528,154500,44,27215,2.36,0.2304,0.0043,0.0176,0.0768,0.0644,0.0027,0.0597,0.7544,0.5345,0.523,0.0812,0,0,0.1268,0.0483,0,0.0277,0.0904,0.0684,0.1931,0.0412,0.1787,0.3413,0.0926,2012
47069950200,6504,1292,568,84800,36.6,10657,2.64,0.1216,0.0012,0.5839,0.128,0.3334,0.013,0.1246,0.5472,0.2766,0.4508,0.2384,0.4763,0.0228,0.2376,0.2396,0.0098,0.1471,0.1873,0.2699,0.3204,0.0093,0.2143,0.3808,0.1157,2012
47165021105,6520,2728,844,154300,31.7,26847,2.38,0.1589,0.0052,0.0963,0.0353,0.1148,0.049,0.0819,0.697,0.4732,0.4304,0.1221,0.0032,0.0837,0.1279,0,0.0025,0.0466,0.13,0.065,0.574,0.0183,0.1434,0.1367,0.0577,2012
47065010501,6521,2681,741,130500,38.2,24234,2.42,0.2348,0.0601,0.1027,0.1008,0.1006,0.0179,0.0793,0.764,0.4772,0.5082,0.0992,0.0048,0.0104,0.1376,0.003,0,0.0552,0.148,0.1336,0.2305,0.0078,0.2097,0.3603,0.0927,2012
