GEOID,Year,Total_Pop,Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QEXTRCT,QSERV,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47141000800,2014,6148,1666,0.0934,0.4738,20.7,0.1004,0.0018,0.0088,0.0873,0.5031,0.2017,0.1605,0,0.2083,6986,0.3527,0.0322,0.2785,0.5503,0.1318,0.8289,2.35,0.0047,0.1104,604,0.3211,134800,0.2107,0.0717,0.4448,0.3621
47147080200,2014,6157,2139,0.1527,0.4988,38.4,0.0375,0.0008,0,0.0707,0.7086,0.0706,0.1726,0.0304,0.2356,23039,0.1008,0.1748,0.1666,0.4505,0.0544,0.2052,2.84,0.2157,0.0145,741,0.1407,138100,0.2427,0.0285,0.1946,0.012
47179060400,2014,6157,2790,0.3232,0.5223,48.8,0.0305,0.0084,0.039,0.0223,0.827,0.0609,0.0317,0.0957,0.4079,43189,0.0521,0.0309,0.1353,0.4895,0.1317,0.3143,2.14,0.0193,0.0341,972,0.1348,196000,0.061,0.0176,0.0553,0.0289
47113000200,2014,6162,2482,0.2595,0.5716,34.5,0.5953,0,0.001,0.0823,0.4983,0.2353,0.2088,0.004,0.3296,19418,0.1212,0.0929,0.1828,0.5947,0.2037,0.6011,2.48,0,0.1918,659,0.3546,108000,0.1926,0.0426,0.3603,0.0028
47189030500,2014,6167,2388,0.2084,0.5221,35.5,0.1485,0,0,0.0345,0.3993,0.2119,0.2099,0.0159,0.3564,17785,0.1127,0.0839,0.2592,0.4591,0.1073,0.5511,2.42,0.0221,0.1026,774,0.209,133000,0.1234,0.0173,0.1964,0.0621
47045964400,2014,6171,2374,0.1891,0.4947,38.9,0.3784,0.0003,0.0029,0.0345,0.4772,0.2178,0.2098,0.0354,0.3083,19573,0.1267,0.0599,0.1846,0.4952,0.1129,0.4684,2.49,0.0968,0.0994,591,0.2275,69300,0.1325,0.0157,0.2873,0.0415
47133950500,2014,6177,2514,0.2223,0.5041,38.8,0,0.0024,0,0.005,0.9272,0.0537,0.1298,0,0.3715,17892,0.1053,0.1297,0.2137,0.5114,0.0885,0.1512,2.46,0.3274,0.0171,666,0.1842,90200,0.1196,0.0026,0.2357,0
47037017402,2014,6179,2507,0.1395,0.4251,35.3,0.0787,0,0.0528,0.2685,0.5974,0.1348,0.2049,0,0.1675,20451,0.0683,0.2922,0.2042,0.3584,0.1173,0.635,2.46,0,0.0666,788,0.2629,128000,0.3169,0.2207,0.2459,0.0011
47003950402,2014,6181,2551,0.22,0.5038,33.1,0.0587,0.0518,0,0.2037,0.6078,0.1258,0.2419,0.0172,0.3324,22812,0.0628,0.0846,0.1578,0.4575,0.0853,0.4563,2.38,0.1976,0.1682,630,0.1936,112800,0.1448,0.1206,0.2119,0.0184
47053967100,2014,6183,2130,0.1669,0.4823,31.8,0.0695,0.0008,0.0029,0.0168,0.6802,0.1272,0.0763,0.0239,0.2333,27209,0.0734,0.0952,0.1091,0.4636,0.0967,0.1066,2.9,0.0971,0.0113,939,0.1009,163100,0.0526,0.0007,0.0677,0
47009011301,2014,6188,2203,0.196,0.4945,40.6,0.032,0,0,0.0288,0.7583,0.0631,0.1031,0.0077,0.3827,20784,0.0833,0.1624,0.1397,0.4093,0.0645,0.1916,2.8,0.1036,0.0477,627,0.1462,156600,0.1873,0.005,0.088,0.0016
47147080103,2014,6194,2222,0.1949,0.4839,33.8,0.0103,0.0132,0.0089,0.0688,0.96,0.0707,0.0843,0.0153,0.2165,23778,0.0824,0.1074,0.1619,0.4872,0.0263,0.1845,2.79,0.0061,0.0248,1107,0.1607,160000,0.1024,0.0349,0.0805,0
