GEOID,Year,Total_Pop, Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47011011300,2015,7875,3031,0.2126,0.4923,45.6,0,0.0055,0.008,0.0098,0.8768,0.0597,0.1312,0.0191,0.447,24175,0.0468,0.1262,0.1158,0.4756,0.0846,0.197,2.59,0.1462,0.0538,549,0.1211,173900,0.0871,0.0061,0.0954,0.0027
47011011401,2015,8602,3119,0.1951,0.5345,41.4,0.0584,0,0.0105,0.0023,0.6438,0.1436,0.0862,0.0846,0.3552,40707,0.0646,0.1234,0.1376,0.4953,0.0379,0.2199,2.75,0.0453,0.0176,750,0.1366,172500,0.125,0.0264,0.1305,0.0024
47011011402,2015,2762,1079,0.1651,0.5329,39.1,0.055,0.0043,0,0.248,0.7192,0.1131,0.183,0.0148,0.2159,21877,0.0602,0.1646,0.1181,0.5282,0.1616,0.633,2.56,0,0.2067,707,0.2669,165600,0.1883,0.1493,0.2426,0
47011011500,2015,7997,3083,0.229,0.5152,42.8,0.0338,0,0.0164,0.0309,0.8189,0.0558,0.1662,0.0201,0.3824,24733,0.118,0.1293,0.1376,0.4718,0.0887,0.143,2.59,0.1806,0.0295,704,0.1226,153600,0.1559,0.0178,0.1797,0
47011011601,2015,4757,1813,0.1982,0.4646,37.8,0.0038,0,0.0027,0.0456,0.8839,0.0905,0.2194,0.0094,0.3138,22670,0.1394,0.1937,0.1249,0.4334,0.1082,0.2261,2.62,0.2602,0.0673,747,0.1031,118500,0.1503,0.0412,0.119,0.0027
47011011602,2015,5394,1964,0.2028,0.5004,38.6,0.0061,0,0,0.0152,0.7072,0.1156,0.2297,0.0102,0.4211,18349,0.0834,0.1477,0.1191,0.4605,0.0589,0.252,2.75,0.3134,0.0484,583,0.193,131200,0.1176,0.0092,0.2066,0
47013950100,2015,2981,1224,0.2204,0.4824,42.9,0,0.0037,0,0.0054,0.6552,0.0825,0.3506,0,0.3995,13263,0.219,0.2338,0.1793,0.4733,0.2184,0.2026,2.44,0.3289,0.0547,471,0.165,47200,0.155,0,0.3381,0
47013950200,2015,2335,1057,0.3101,0.5803,47.1,0.042,0.0128,0,0.0176,0.7966,0.1646,0.3341,0.0057,0.5061,18274,0.1415,0.1662,0.0959,0.5378,0.111,0.439,2.1,0.164,0.193,273,0.1457,65000,0.1299,0.0027,0.3062,0.0488
47013950300,2015,1796,722,0.2183,0.5056,41.9,0,0.0033,0,0,0.8836,0.0776,0.4165,0.0291,0.4986,15738,0.0737,0.1531,0.2247,0.3897,0.1758,0.241,2.49,0.3219,0.072,624,0.2064,54200,0.113,0,0.3337,0
47013950400,2015,4952,1899,0.2199,0.5059,42.2,0,0,0.0091,0.0028,0.7105,0.1474,0.2389,0.0111,0.4176,21014,0.0805,0.2459,0.1359,0.5092,0.212,0.2807,2.61,0.2195,0.0237,575,0.1796,104600,0.1309,0.0055,0.1642,0
47013950500,2015,5351,2146,0.2508,0.5231,41.3,0.006,0.005,0.0009,0.0357,0.7301,0.1417,0.1781,0.007,0.4324,20317,0.0687,0.1818,0.0774,0.5326,0.1237,0.3635,2.42,0.0559,0.0927,602,0.1267,120300,0.0969,0.0064,0.1521,0.0275
47013950600,2015,4365,1715,0.2717,0.4873,38.8,0.0066,0,0.0048,0.0252,0.5119,0.1743,0.2721,0,0.4379,14074,0.1402,0.1854,0.1223,0.4292,0.1837,0.4991,2.45,0.0819,0.1254,614,0.1959,64400,0.1385,0.0074,0.2954,0.0389
47013950700,2015,4760,1949,0.258,0.558,47.4,0,0.0097,0,0.0006,0.6751,0.1652,0.3331,0,0.4997,15940,0.1091,0.2043,0.1051,0.6028,0.085,0.4484,2.39,0.0333,0.1837,348,0.1596,89100,0.1342,0,0.3391,0.0214
47013950800,2015,2193,880,0.3288,0.5025,50.6,0,0,0.0196,0,0.9318,0.0648,0.2408,0.025,0.5807,22661,0.0484,0.1756,0.2087,0.4237,0.3343,0.0716,2.49,0.2065,0.0625,570,0.1466,93400,0.1674,0,0.1883,0
47013950900,2015,2915,1216,0.2422,0.5105,44.5,0,0.0034,0,0.0113,0.4944,0.1867,0.2311,0.0033,0.4852,20136,0.0545,0.1272,0.1359,0.4891,0.379,0.1686,2.4,0.1517,0.0387,559,0.1965,92600,0.1049,0,0.1785,0
47013951000,2015,2769,1045,0.2467,0.4857,38.5,0,0,0,0.004,0.907,0.1043,0.2783,0.0211,0.4172,18696,0.1152,0.2348,0.1438,0.4051,0.2743,0.2593,2.65,0.1292,0.0163,553,0.1522,77500,0.1965,0.0069,0.191,0
47013951100,2015,5759,2142,0.1662,0.5206,41.3,0.008,0,0,0.0151,0.8969,0.1167,0.2955,0,0.451,18606,0.0742,0.1267,0.1906,0.458,0.2391,0.1597,2.69,0.1314,0.0383,616,0.2269,117000,0.1313,0.0046,0.1823,0
47015960100,2015,3742,1553,0.2368,0.4316,47,0.0072,0.0091,0,0.0077,0.6928,0.0502,0.2087,0.0148,0.4102,22110,0.0656,0.1247,0.158,0.391,0.1382,0.2093,2.36,0.1837,0.0547,539,0.1423,137900,0.1095,0.0022,0.1841,0.0222
