GEOID,Year,Total_Pop,Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QESL,QPOVTY,QNOHLTH,QGROUP
47099960100,2013,4877,1652,0.1806,0.5099,38,0.0002,0,0,0.001,0.8296,0.0617,0.1765,0.0157,0.3499,22381,0.0845,0.1119,0.155,0.4917,0.1346,0.178,2.95,0.2452,0.0224,564,0.0944,118200,0,0.1046,0.1156,0.0023
47157021752,2013,4878,1564,0.1255,0.5572,35.1,0.8547,0,0.0012,0.05,0.6987,0.2276,0.0798,0.0058,0.0946,24744,0.0615,0.1082,0.0672,0.5113,0.1321,0.1643,3.12,0,0,877,0.2155,148800,0.0266,0.1056,0.139,0
47043060700,2013,4879,1708,0.1904,0.4882,40.2,0.0236,0,0,0.0494,0.7446,0.144,0.1745,0.0117,0.3162,19034,0.1098,0.1786,0.133,0.4734,0.0564,0.2681,2.86,0.3331,0.0263,775,0.1393,132500,0.022,0.1521,0.1484,0
47055920500,2013,4879,1956,0.2228,0.4981,44.6,0.1156,0,0.0129,0.0234,0.6041,0.1447,0.1892,0,0.4177,16941,0.1239,0.0789,0.0815,0.4947,0.0787,0.3364,2.49,0.1653,0.0143,569,0.2009,95900,0.0398,0.197,0.167,0.0018
47037011600,2013,4880,2086,0.1645,0.5098,40.1,0.3502,0,0,0.0191,0.6205,0.1524,0.1319,0,0.2848,22852,0.0918,0.1429,0.0801,0.5355,0.0587,0.2713,2.33,0,0.0494,863,0.2258,137300,0.0131,0.1477,0.1631,0.0035
47037018405,2013,4883,1844,0.1735,0.529,41.3,0.0336,0.0025,0.042,0.0328,0.8324,0.0862,0.0319,0.0911,0.2402,38597,0.0609,0.0908,0.0424,0.4974,0.0724,0.1556,2.65,0.0176,0.0233,1014,0.0889,240700,0.0063,0.0256,0.0719,0
47165021203,2013,4890,1891,0.2119,0.5131,44.2,0.0145,0,0,0.0415,0.9318,0.0598,0.0523,0.1148,0.2813,36706,0.067,0.1214,0.0685,0.441,0.0874,0.1883,2.58,0,0.0148,986,0.1756,245400,0.0211,0.0459,0.1012,0.0004
47037011400,2013,4891,1942,0.1955,0.5134,31.2,0.6786,0,0.002,0.0141,0.2559,0.3182,0.208,0,0.2678,15921,0.1606,0.2841,0.0305,0.5377,0.1608,0.5139,2.51,0,0.156,728,0.3301,122400,0.0154,0.236,0.231,0.0029
47105060100,2013,4914,1901,0.219,0.5403,45.7,0.0065,0.0035,0,0.01,0.8473,0.1126,0.1189,0.0142,0.3509,24528,0.1163,0.1612,0.0956,0.4883,0.0626,0.2036,2.53,0.2742,0.0263,690,0.1157,147100,0.0053,0.0961,0.125,0.023
47037010502,2013,4921,1879,0.1742,0.506,37.4,0.1254,0,0.01,0.0392,0.8124,0.0862,0.0936,0.0303,0.2656,27374,0.1065,0.2063,0.0836,0.4678,0.0918,0.2299,2.62,0.0155,0.0319,891,0.1889,151300,0.0239,0.1063,0.1711,0
47013950400,2013,4925,1996,0.2114,0.5324,44.6,0.0016,0,0.0024,0.0106,0.7033,0.1373,0.2514,0.004,0.3647,18686,0.0746,0.191,0.1414,0.4819,0.1718,0.2986,2.47,0.2734,0.024,573,0.1563,109700,0,0.1931,0.1222,0
47037019003,2013,4927,1669,0.1794,0.4246,28.5,0.1593,0.0065,0.0067,0.4674,0.6846,0.0977,0.3247,0,0.142,14237,0.1122,0.2412,0.2778,0.3277,0.0905,0.7567,2.95,0,0.1043,790,0.2642,157000,0.369,0.2647,0.3696,0.0012
47013950700,2013,4930,2009,0.2872,0.5294,39.4,0.0004,0.0055,0,0,0.8122,0.1105,0.3366,0.003,0.4818,14815,0.1446,0.1797,0.0993,0.5097,0.0712,0.4674,2.42,0.0236,0.1623,478,0.2001,126100,0.0018,0.3965,0.1287,0.0124
47169090100,2013,4933,1864,0.1691,0.4887,40.7,0.0624,0.0039,0.0249,0,0.7529,0.0789,0.1822,0.0204,0.3745,22253,0.0991,0.1347,0.11,0.4908,0.1723,0.155,2.65,0.294,0.0402,705,0.2157,117100,0,0.1127,0.152,0
47079969500,2013,4935,2279,0.3212,0.5925,50.5,0.0401,0.0079,0.0071,0.0053,0.4623,0.14,0.1968,0.0307,0.5108,24830,0.1443,0.1576,0.0825,0.4934,0.096,0.3418,2.06,0.0821,0.1062,598,0.143,89700,0.0112,0.1972,0.1398,0.0509
47189030309,2013,4936,1736,0.1767,0.5239,37.3,0.0484,0.0032,0.0355,0.0192,0.7313,0.0922,0.0796,0.0899,0.2039,32671,0.0869,0.098,0.0517,0.5012,0.0591,0.2356,2.79,0.0255,0.0438,902,0.2333,231300,0.0124,0.1018,0.073,0.0203
47091956400,2013,4939,1957,0.2683,0.5163,42.8,0.032,0,0,0.0032,0.6631,0.1099,0.33,0,0.4088,16186,0.0931,0.1719,0.0964,0.45,0.2064,0.2351,2.51,0.2981,0.0337,549,0.1288,75700,0.0043,0.1868,0.1089,0.0069
47157021721,2013,4944,1733,0.1988,0.5674,24.7,0.8465,0.003,0.0087,0.0991,0.3253,0.3612,0.2163,0,0.1523,12256,0.2467,0.2331,0.0627,0.4737,0.2032,0.7911,2.85,0,0.1327,799,0.5291,100200,0.0488,0.3719,0.228,0.0004
47059090300,2013,4947,2264,0.2306,0.5589,45.9,0.0144,0,0.0374,0.021,0.7004,0.1347,0.1289,0.0159,0.4002,27231,0.064,0.1029,0.0725,0.474,0.1245,0.3489,2.18,0.0561,0.1113,410,0.1073,151000,0.0071,0.188,0.0859,0.0022
47065002400,2013,4954,1520,0.1908,0.4475,29,0.265,0.0024,0.0424,0.2122,0.5556,0.1539,0.3572,0.0066,0.2868,13031,0.2612,0.2767,0.1482,0.397,0.1579,0.5263,3.26,0.0166,0.0974,817,0.3632,62400,0.1323,0.4889,0.2006,0
47081950302,2013,4955,1898,0.2337,0.5451,42.8,0.0012,0,0.0075,0.0678,0.862,0.058,0.1857,0.0263,0.3962,22684,0.097,0.1843,0.0759,0.5067,0.0996,0.1754,2.56,0.1328,0.0595,636,0.1744,131900,0.0046,0.1505,0.1189,0.0198
47009011502,2013,4961,1703,0.1935,0.5261,37.8,0,0,0,0.002,0.7482,0.0945,0.1601,0.0047,0.3594,19076,0.1571,0.143,0.1094,0.5324,0.0638,0.2308,2.91,0.3189,0.0575,761,0.1867,175500,0,0.2472,0.181,0
47065012400,2013,4963,909,0.0286,0.4985,20.6,0.2347,0.001,0.0556,0.0496,0.736,0.0649,0.0515,0.0385,0.1606,12608,0.1774,0.2881,0.0317,0.5312,0.2592,0.6744,2.09,0,0.242,628,0.3267,173800,0.0261,0.4147,0.0738,0.6172
47093006202,2013,4966,1915,0.2076,0.5107,39.8,0.0079,0,0.0046,0.0495,0.857,0.1217,0.0589,0.0261,0.3112,25733,0.0498,0.1526,0.1268,0.4329,0.0454,0.1932,2.59,0.0045,0.0162,726,0.1426,158900,0.0413,0.0906,0.1042,0
47011011601,2013,4967,1799,0.1977,0.4995,36.7,0.0318,0,0.0022,0.0238,0.7472,0.1406,0.2367,0.0033,0.3608,18792,0.1228,0.1908,0.1256,0.5053,0.119,0.2057,2.75,0.2057,0.0706,726,0.1201,111600,0.033,0.1027,0.1488,0.0036
47093004610,2013,4970,2294,0.1334,0.4519,28.5,0.1913,0,0.0089,0.1586,0.4374,0.0432,0.0286,0.0096,0.1421,20357,0.0885,0.203,0.1034,0.4334,0.1661,0.8435,2.17,0,0.0789,848,0.1988,173800,0.0924,0.2471,0.2598,0
47107970402,2013,4972,2142,0.2424,0.5259,46.4,0.0555,0,0.0161,0.038,0.8885,0.0985,0.1236,0,0.3903,23895,0.0646,0.1629,0.145,0.5435,0.0842,0.2344,2.31,0.1505,0.0112,711,0.1923,144900,0.0335,0.1304,0.1274,0.0064
47135930200,2013,4977,1990,0.2516,0.5027,39.8,0.036,0.0072,0,0.0265,0.711,0.1412,0.1964,0.0035,0.4241,15902,0.1229,0.2732,0.1493,0.4461,0.2605,0.2729,2.43,0.2995,0.0593,516,0.1764,84000,0.0034,0.1977,0.1607,0.0287
47089070600,2013,4983,1922,0.2296,0.5127,39.5,0.006,0.003,0,0.0333,0.6774,0.1816,0.2068,0,0.4116,20050,0.0984,0.19,0.1044,0.4811,0.1102,0.3767,2.55,0.1593,0.0702,563,0.1769,125000,0.0247,0.1719,0.2037,0.0167
47165020300,2013,4988,1801,0.2057,0.4852,33.2,0.0239,0.0413,0,0.0375,0.382,0.2021,0.2206,0.0044,0.2748,16350,0.0958,0.2042,0.1441,0.4955,0.1262,0.4942,2.77,0.0762,0.0772,741,0.2104,118500,0,0.2107,0.1995,0.0004
47047060404,2013,4995,1986,0.1814,0.4889,36.8,0.1534,0,0.0268,0.0028,0.7899,0.0866,0.0827,0.007,0.2543,26581,0.0882,0.1668,0.0874,0.4367,0.0583,0.1531,2.52,0.056,0.0081,1044,0.1611,167100,0.0057,0.0877,0.1273,0
47143975000,2013,4995,2028,0.2314,0.4645,44.8,0.0382,0,0.002,0.0094,0.7599,0.1139,0.1994,0.0074,0.4048,19874,0.1202,0.1328,0.182,0.4293,0.2752,0.213,2.46,0.2051,0.0814,576,0.1489,122500,0.0021,0.2136,0.1666,0.001
47163041800,2013,4998,2211,0.2135,0.5954,36.7,0.0406,0.0088,0,0.0312,0.5443,0.1845,0.2023,0,0.3487,14249,0.1511,0.2622,0.0956,0.5423,0.1282,0.4943,2.25,0.0797,0.114,596,0.2922,83900,0.0038,0.3833,0.142,0.0056
47037015625,2013,5000,2241,0.1128,0.5502,38.6,0.1348,0,0.0286,0.0604,0.6895,0.0634,0.0847,0.0192,0.1107,29222,0.0848,0.12,0.0422,0.5224,0.0905,0.2735,2.23,0,0.0295,1074,0.2066,136100,0.0614,0.1344,0.1224,0
47011010700,2013,5001,1820,0.2106,0.5309,32.2,0.0642,0.0018,0.0022,0.0848,0.3339,0.2566,0.3706,0.0033,0.2698,12237,0.1835,0.2011,0.0492,0.5765,0.1017,0.6363,2.61,0.0518,0.1071,621,0.2703,80100,0.0709,0.3938,0.2058,0.0492
47009011603,2013,5002,1882,0.1647,0.5172,41.6,0.025,0.0064,0.0076,0.0464,0.7959,0.06,0.2095,0.0345,0.313,27069,0.1374,0.1431,0.1788,0.4123,0.0921,0.1769,2.66,0.206,0.025,769,0.1621,153400,0.0305,0.0882,0.1632,0
47103975500,2013,5003,1959,0.2097,0.4797,43.1,0,0.001,0.002,0.0016,0.6392,0.1332,0.2314,0.0128,0.3655,18815,0.1193,0.1451,0.1354,0.5192,0.1176,0.2302,2.55,0.236,0.0878,537,0.2124,107000,0,0.1827,0.1118,0
47149040104,2013,5008,1728,0.1667,0.5507,31.7,0.1971,0.0058,0.0052,0.2065,0.7242,0.2176,0.1499,0.0203,0.2072,19756,0.1603,0.1174,0.1479,0.4894,0.0754,0.3605,2.9,0.0369,0.0318,953,0.1811,111300,0.0525,0.0986,0.2008,0
47167040100,2013,5008,1665,0.1607,0.5152,39.8,0.0869,0,0.0072,0,0.7463,0.1616,0.1539,0.0162,0.3267,21372,0.1564,0.1791,0.2058,0.4412,0.1144,0.2078,3.01,0.3032,0.006,787,0.1021,127300,0.0029,0.1486,0.1422,0
47157022330,2013,5015,1660,0.2108,0.5035,33.1,0.9083,0,0,0.0919,0.3496,0.3843,0.2289,0,0.3795,14154,0.2051,0.3087,0.0769,0.5633,0.0959,0.3235,3.01,0.0425,0.1452,877,0.3012,65600,0.0296,0.2034,0.2496,0.0026
47037010801,2013,5016,2225,0.2006,0.5596,33.7,0.3596,0,0,0.1699,0.3651,0.209,0.0794,0.0076,0.2602,20371,0.0981,0.2517,0.1206,0.5122,0.0829,0.4957,2.25,0.0272,0.0733,829,0.2665,118100,0.1117,0.2111,0.2189,0.0008
47183968500,2013,5016,2037,0.2346,0.5431,39.8,0.0221,0,0.0016,0.0241,0.6804,0.1571,0.2298,0,0.3569,18465,0.1416,0.1559,0.1161,0.4926,0.0845,0.2896,2.46,0.2094,0.0859,557,0.1198,68600,0.0044,0.1555,0.1354,0
