,GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
60988,47123925502,Tennessee,Monroe ,2019,5192,2011,0.2421,0.4752,46.3,0.0,0,0.0048,0.0828,0.7475,0.2525,0.1248,0.4379,0.1708,0.0109,0.4833,19581.0,0.1024,0.2154,0.0454,0.0617,2.58,0.202,0.0249,0.1208,0.0756,0.0052,0.134,0.2445,0.2532,825,144400,0.43117821911442356,-0.14035844486996601,0.8451760019017641,-0.18862555688767882,1.0539178169328327,-1.1389315979625283
60989,47125100100,Tennessee,Montgomery ,2019,1162,404,0.0318,0.4656,31.6,0.2633,0,0.0,0.1059,0.7143,0.2857,0.047,0.5644,0.1313,0.0149,0.047,15607.0,0.0648,0.3366,0.0149,0.8936,1.54,0.0178,0.245,0.1262,0.2122,0.0103,0.3355,0.1304,0.2811,775,149100,-2.9237912049443273,1.3214997521968492,-2.7127534309003143,-0.42703510485028245,0.4993238479153443,-1.604826269305924
60990,47125100200,Tennessee,Montgomery ,2019,1503,682,0.157,0.5156,34.4,0.0912,0.0173,0.0,0.0492,0.6942,0.3058,0.1349,0.3783,0.0957,0.0044,0.305,19297.0,0.0721,0.2023,0.0,0.654,2.16,0.0034,0.1232,0.2522,0.1677,0.0,0.2488,0.1852,0.2354,737,105400,-1.1006578474667075,0.8963329890520081,-0.7727199343749164,-0.15800606158973207,-0.01418849925645807,-1.052076341297609
60991,47125100300,Tennessee,Montgomery ,2019,5549,2051,0.1979,0.5277,32.9,0.2853,0.0025,0.0,0.1063,0.3942,0.6058,0.1624,0.4684,0.1151,0.0278,0.3257,26948.0,0.0697,0.1056,0.0091,0.3983,2.71,0.0,0.0639,0.2204,0.1059,0.0039,0.3132,0.1262,0.0957,783,141800,-0.27938264173786886,0.28537605547677025,-0.7748797867155477,-0.18910111810995767,0.06578512721729055,0.33343708039357567
60992,47125100400,Tennessee,Montgomery ,2019,3077,1187,0.1891,0.4807,30.5,0.4712,0.0029,0.0,0.0994,0.4669,0.5331,0.2283,0.5058,0.1441,0.0067,0.3016,17076.0,0.1049,0.2351,0.0,0.7119,2.49,0.0,0.1264,0.2755,0.1104,0.0,0.3025,0.2192,0.2007,728,79700,0.2538797389971433,1.3947281326957526,-0.9009797504235313,-0.35724647244554103,0.2782573377334988,-0.1608795085630358
60993,47125100500,Tennessee,Montgomery ,2019,4601,2368,0.2599,0.509,30.8,0.1947,0,0.0002,0.0456,0.4876,0.5124,0.1216,0.5337,0.063,0.0046,0.3041,24618.0,0.067,0.1673,0.0,0.6398,1.94,0.0083,0.0663,0.1921,0.0414,0.0135,0.1815,0.2097,0.0681,848,134400,0.07857791112110635,0.07565596646973276,-0.5631709086444374,-0.49212560596510635,0.20498741969323536,0.853231039567682
60994,47125100601,Tennessee,Montgomery ,2019,2188,846,0.3318,0.5283,48.5,0.0375,0.0037,0.0297,0.0064,0.7735,0.2265,0.0792,0.3886,0.0382,0.065,0.4634,36218.0,0.0605,0.1507,0.0306,0.2648,2.39,0.0077,0.0083,0.1017,0.0967,0.0219,0.0316,0.1461,0.0642,779,192500,0.25412520910753433,-0.6040922348909442,1.471312078115884,0.2428371100167623,-0.9133382680131151,0.05740652387894754
60995,47125100602,Tennessee,Montgomery ,2019,2512,1334,0.2476,0.5267,36.5,0.0856,0.0076,0.0028,0.0565,0.4598,0.5402,0.0892,0.4862,0.0803,0.018,0.3238,35468.0,0.0625,0.2198,0.0,0.5397,1.88,0.0,0.0922,0.2024,0.0612,0.019,0.1082,0.1765,0.1338,877,158800,0.13488737639942905,0.20157673487449376,-0.0052827666535997944,-0.17068887408142805,-0.3661565911006091,0.4754388733605722
60996,47125100700,Tennessee,Montgomery ,2019,1312,543,0.2363,0.4482,45.6,0.282,0.0091,0.0069,0.1791,0.5904,0.4096,0.1271,0.4279,0.0848,0.0884,0.2947,34226.0,0.054,0.2425,0.0,0.442,2.42,0.0103,0.0958,0.2099,0.1438,0.0016,0.311,0.1676,0.2003,785,181000,-0.3492734113271877,0.8840345578041489,0.29069344956599963,0.5181659726362753,-0.9476572933419857,-1.0945100979916258
60997,47125100800,Tennessee,Montgomery ,2019,2589,755,0.1236,0.5655,22.2,0.5164,0,0.0031,0.0212,0.2196,0.7804,0.2861,0.588,0.1659,0.0172,0.2291,14271.0,0.1278,0.2321,0.0039,0.7735,2.29,0.0072,0.2225,0.3523,0.1461,0.0041,0.3361,0.2006,0.2233,593,83400,0.5946915588211987,2.047423433452061,-1.6760218273881735,-1.030404146973694,0.430022956917651,0.8236711428133541
